current_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Pennsylvania,2015,12662192,11109753,1258572,232683,61184,Minnesota,1799
Rhode Island,2015,1045062,901338,97722,38344,7658,Minnesota,58
South Carolina,2015,4839984,4106166,543488,170366,19964,Minnesota,987
South Dakota,2015,848285,702122,116343,26962,2858,Minnesota,3878
Tennessee,2015,6522259,5535963,766524,195923,23849,Minnesota,1667
Texas,2015,27092848,22723345,3594282,553032,222189,Minnesota,4956
Utah,2015,2947423,2435722,390649,97361,23691,Minnesota,519
Vermont,2015,619952,532319,62067,21232,4334,Minnesota,10
Virginia,2015,8283737,6952362,983569,277715,70091,Minnesota,2788
Washington,2015,7089143,5778806,1017221,230907,62209,Minnesota,3503
West Virginia,2015,1823753,1610407,167631,42078,3637,Minnesota,371
Wisconsin,2015,5708201,4891636,690306,106511,19748,Minnesota,19812
Wyoming,2015,579102,474927,65384,35947,2844,Minnesota,788
Puerto Rico,2015,3443445,3193423,219833,24762,5427,Minnesota,0
Alabama,2016,4810126,4141850,529994,122220,16062,Minnesota,122
Alaska,2016,731760,593897,100004,31300,6559,Minnesota,236
Arizona,2016,6851836,5586753,938077,273257,53749,Minnesota,5461
Arkansas,2016,2949650,2484705,384811,71083,9051,Minnesota,449
California,2016,38783436,33594813,4337251,514758,336614,Minnesota,10897
Colorado,2016,5476928,4466067,754712,223260,32889,Minnesota,3725
Connecticut,2016,3541758,3116440,323316,75586,26416,Minnesota,780
Delaware,2016,942073,817779,85147,33400,5747,Minnesota,0
District of Columbia ,2016,672022,538547,64166,58154,11155,Minnesota,542
Florida,2016,20401575,17176492,2387227,605018,232838,Minnesota,6778
Georgia,2016,10179860,8514847,1290632,305040,69341,Minnesota,3166
Hawaii,2016,1410258,1217704,117894,57229,17431,Minnesota,464
Idaho,2016,1663756,1369449,214222,71556,8529,Minnesota,426
Illinois,2016,12654142,10996695,1387848,203713,65886,Minnesota,3566
Indiana,2016,6554084,5580090,801425,145782,26787,Minnesota,1989
Iowa,2016,3097283,2622577,383520,78263,12923,Minnesota,7633
Kansas,2016,2870529,2394351,369971,88830,17377,Minnesota,1192
Kentucky,2016,4385213,3698797,553718,113238,19460,Minnesota,947
Louisiana,2016,4622042,3994321,526380,85371,15970,Minnesota,415
Maine,2016,1319292,1146220,129892,38590,4590,Minnesota,224
Maryland,2016,5949566,5140378,606423,158647,44118,Minnesota,661
Massachusetts,2016,6745441,5866016,657022,149408,72995,Minnesota,561
Michigan,2016,9813772,8362412,1240633,155874,54853,Minnesota,2661
Minnesota,2016,5455904,4669227,645164,111307,30206,Minnesota,0
Mississippi,2016,2951081,2556013,324577,64639,5852,Minnesota,81
Missouri,2016,6022165,5078669,758791,162809,21896,Minnesota,1893
Montana,2016,1032794,863174,128300,37775,3545,Minnesota,2089
Nebraska,2016,1882987,1573126,248118,51448,10295,Minnesota,1656
Nevada,2016,2907243,2400809,374058,117899,14477,Minnesota,1320
New Hampshire,2016,1322101,1122068,140603,52457,6973,Minnesota,247
New Jersey,2016,8852286,7934689,703637,144359,69601,Minnesota,508
New Mexico,2016,2057857,1768040,214411,64802,10604,Minnesota,811
New York,2016,19526443,17465164,1634487,260723,166069,Minnesota,1309
North Carolina,2016,10032407,8460264,1190972,330896,50275,Minnesota,1782
North Dakota,2016,746271,620891,91010,29655,4715,Minnesota,11684
Ohio,2016,11481752,9755589,1482286,195396,48481,Minnesota,2793
Oklahoma,2016,3873232,3225478,530770,102000,14984,Minnesota,528
Oregon,2016,4052221,3307805,577950,139334,27132,Minnesota,724
Pennsylvania,2016,12645493,11016361,1308271,252060,68801,Minnesota,1557
Rhode Island,2016,1045691,898574,106725,32800,7592,Minnesota,141
South Carolina,2016,4903788,4176954,542415,165230,19189,Minnesota,621
South Dakota,2016,853832,720262,97747,31789,4034,Minnesota,4991
Tennessee,2016,6580953,5644022,742615,170867,23449,Minnesota,2484
Texas,2016,27472626,23105984,3599897,531996,234749,Minnesota,6795
Utah,2016,3002244,2474308,396018,107083,24835,Minnesota,811
Vermont,2016,619387,535268,60744,21262,2113,Minnesota,7
Virginia,2016,8312297,7008805,961003,264164,78325,Minnesota,1194
Washington,2016,7202119,5924723,958326,257728,61342,Minnesota,4153
West Virginia,2016,1810709,1582818,176953,47196,3742,Minnesota,0
Wisconsin,2016,5712104,4876817,696530,118814,19943,Minnesota,18036
Wyoming,2016,577567,472996,75995,26471,2105,Minnesota,473
Puerto Rico,2016,3384760,3143116,216969,21196,3479,Minnesota,0
Alabama,2017,4819343,4158224,535649,111803,13667,Minnesota,420
Alaska,2017,730874,595804,98168,30199,6703,Minnesota,1077
Arizona,2017,6935358,5717189,911120,261727,45322,Minnesota,7093
Arkansas,2017,2968395,2509717,370309,79411,8958,Minnesota,808
California,2017,39085984,34009331,4234770,523131,318752,Minnesota,7487
Colorado,2017,5542282,4546729,734182,226933,34438,Minnesota,4369
Connecticut,2017,3556297,3136666,311726,83325,24580,Minnesota,160
Delaware,2017,952449,830905,78998,38532,4014,Minnesota,45
District of Columbia ,2017,684810,554225,64013,56231,10341,Minnesota,436
Florida,2017,20772371,17554348,2402381,566476,249166,Minnesota,7614
Georgia,2017,10299497,8760762,1202587,278889,57259,Minnesota,2591
Hawaii,2017,1410750,1231340,115683,46457,17270,Minnesota,97
Idaho,2017,1694182,1405344,210310,71899,6629,Minnesota,348
Illinois,2017,12659328,11026895,1365922,195092,71419,Minnesota,5286
Indiana,2017,6591598,5633171,792487,142290,23650,Minnesota,1400
Iowa,2017,3106880,2654666,362905,77072,12237,Minnesota,6834
Kansas,2017,2876925,2413141,366147,86154,11483,Minnesota,679
Kentucky,2017,4404279,3721100,563721,103985,15473,Minnesota,577
Louisiana,2017,4629962,4030674,513676,72836,12776,Minnesota,84
Maine,2017,1322591,1140136,144186,34252,4017,Minnesota,241
Maryland,2017,5988007,5168350,605885,165654,48118,Minnesota,731
Massachusetts,2017,6789798,5888011,677835,146299,77653,Minnesota,1814
Michigan,2017,9851330,8450559,1203536,148787,48448,Minnesota,1175
Minnesota,2017,5510902,4728748,643272,115623,23259,Minnesota,0
Mississippi,2017,2946971,2553271,313673,73549,6478,Minnesota,331
Missouri,2017,6039877,5108238,742205,164957,24477,Minnesota,1672
Montana,2017,1039170,883342,116400,35456,3972,Minnesota,948
Nebraska,2017,1894217,1586729,243792,52507,11189,Minnesota,2713
Nevada,2017,2963456,2430163,383067,133074,17152,Minnesota,1687
New Hampshire,2017,1330742,1134244,137212,52893,6393,Minnesota,43
New Jersey,2017,8910191,7968039,710807,152106,79239,Minnesota,894
New Mexico,2017,2062628,1801560,193225,57255,10588,Minnesota,307
New York,2017,19638923,17553033,1655152,285252,145486,Minnesota,1973
North Carolina,2017,10158556,8649400,1139260,313834,56062,Minnesota,2769
North Dakota,2017,744641,609017,92436,37315,5873,Minnesota,13844
Ohio,2017,11520109,9822847,1452745,198929,45588,Minnesota,1362
Oklahoma,2017,3875922,3216306,542724,101961,14931,Minnesota,1083
Oregon,2017,4102048,3405784,520747,149513,26004,Minnesota,930
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Minnesota,1630
Rhode Island,2017,1048549,922210,83440,36850,6049,Minnesota,0
South Carolina,2017,4966211,4248517,531315,166573,19806,Minnesota,870
South Dakota,2017,856726,723740,99781,26106,7099,Minnesota,3510
Tennessee,2017,6642072,5675990,748912,191909,25261,Minnesota,978
Texas,2017,27924632,23534387,3643333,524511,222401,Minnesota,8715
Utah,2017,3056193,2532858,398606,99584,25145,Minnesota,1716
Vermont,2017,619089,536390,57588,21868,3243,Minnesota,75
Virginia,2017,8372522,7089782,958267,250490,73983,Minnesota,2010
Washington,2017,7318811,6016482,978057,260787,63485,Minnesota,3192
West Virginia,2017,1798306,1589833,165375,40007,3091,Minnesota,161
Wisconsin,2017,5731549,4908638,687285,112519,23107,Minnesota,19873
Wyoming,2017,573483,481231,71338,18511,2403,Minnesota,478
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Minnesota,0
Alabama,2018,4832358,4173026,534914,109301,15117,Minnesota,915
Alaska,2018,727164,608707,81229,32099,5129,Minnesota,586
Arizona,2018,7090137,5887700,888452,273714,40271,Minnesota,6206
Arkansas,2018,2975961,2539294,354774,73179,8714,Minnesota,196
California,2018,39114889,34232867,4092388,501023,288611,Minnesota,6221
Colorado,2018,5633029,4626834,728730,239153,38312,Minnesota,5208
Connecticut,2018,3538203,3102312,320248,84718,30925,Minnesota,106
Delaware,2018,958770,853523,67984,34451,2812,Minnesota,0
District of Columbia ,2018,693798,568201,68603,47555,9439,Minnesota,143
Florida,2018,21092877,17863603,2420485,587261,221528,Minnesota,6820
Georgia,2018,10410462,8909803,1174523,274273,51863,Minnesota,1042
Hawaii,2018,1403653,1211015,125172,54074,13392,Minnesota,363
Idaho,2018,1734756,1438727,209540,79765,6724,Minnesota,631
Illinois,2018,12599244,11029483,1295596,206620,67545,Minnesota,4498
Indiana,2018,6612948,5614432,821113,145256,32147,Minnesota,1345
Iowa,2018,3119306,2662849,371285,74199,10973,Minnesota,6286
Kansas,2018,2874208,2392841,371025,95748,14594,Minnesota,835
Kentucky,2018,4414714,3744188,547535,110456,12535,Minnesota,434
Louisiana,2018,4603081,4033845,474843,81355,13038,Minnesota,274
Maine,2018,1324095,1143612,142453,34706,3324,Minnesota,75
Maryland,2018,5974521,5133916,630955,163216,46434,Minnesota,284
Massachusetts,2018,6834364,5970065,653940,144042,66317,Minnesota,1578
Michigan,2018,9891083,8562101,1144840,139276,44866,Minnesota,1195
Minnesota,2018,5543490,4781432,635928,100270,25860,Minnesota,0
Mississippi,2018,2955717,2582347,297788,68000,7582,Minnesota,28
Missouri,2018,6053109,5161553,720626,152326,18604,Minnesota,2160
Montana,2018,1051757,891554,113693,43375,3135,Minnesota,2505
Nebraska,2018,1905843,1602056,239853,54579,9355,Minnesota,2242
Nevada,2018,3003761,2495398,366629,127362,14372,Minnesota,1070
New Hampshire,2018,1344750,1170412,119936,48367,6035,Minnesota,52
New Jersey,2018,8815804,7870909,722620,159846,62429,Minnesota,353
New Mexico,2018,2072546,1797834,204099,60068,10545,Minnesota,641
New York,2018,19329704,17327068,1614505,254447,133684,Minnesota,1286
North Carolina,2018,10274540,8723401,1178884,318681,53574,Minnesota,3342
North Dakota,2018,749825,623183,89228,33735,3679,Minnesota,10670
Ohio,2018,11555163,9892715,1426959,198026,37463,Minnesota,1405
Oklahoma,2018,3895983,3226343,548493,106943,14204,Minnesota,1167
Oregon,2018,4152756,3438653,554097,140627,19379,Minnesota,1693
Pennsylvania,2018,12674699,11119060,1239854,253520,62265,Minnesota,2019
Rhode Island,2018,1047975,928114,78525,32841,8495,Minnesota,0
South Carolina,2018,5029034,4309043,511153,186505,22333,Minnesota,366
South Dakota,2018,871271,740970,100177,26775,3349,Minnesota,3822
Tennessee,2018,6692936,5706212,748791,209377,28556,Minnesota,375
Texas,2018,28333482,23992374,3575604,563945,201559,Minnesota,7291
Utah,2018,3114717,2583764,408033,100824,22096,Minnesota,531
Vermont,2018,621681,542177,50818,26306,2380,Minnesota,461
Virginia,2018,8424340,7142767,947475,274003,60095,Minnesota,1616
Washington,2018,7453439,6101533,1028654,260906,62346,Minnesota,2131
West Virginia,2018,1787630,1585832,156420,43841,1537,Minnesota,70
Wisconsin,2018,5751525,4960260,659159,114613,17493,Minnesota,19632
Wyoming,2018,570867,479561,62957,25734,2615,Minnesota,59
Puerto Rico,2018,3173956,2915696,234174,20900,3186,Minnesota,0
Alabama,2019,4849509,4197698,534842,104780,12189,Minnesota,41
Alaska,2019,722063,609362,74375,34031,4295,Minnesota,417
Arizona,2019,7200620,6038776,861935,253295,46614,Minnesota,5868
Arkansas,2019,2989054,2559444,361762,59723,8125,Minnesota,1142
California,2019,39084048,34394220,3943139,480204,266485,Minnesota,8951
Colorado,2019,5701658,4695821,736314,240600,28923,Minnesota,5523
Connecticut,2019,3531986,3106754,306070,90044,29118,Minnesota,676
Delaware,2019,964817,843383,79186,38014,4234,Minnesota,0
District of Columbia ,2019,697556,563798,64893,58879,9986,Minnesota,278
Florida,2019,21269409,18083185,2381208,601611,203405,Minnesota,6239
Georgia,2019,10499808,9034705,1130068,284541,50494,Minnesota,968
Hawaii,2019,1396819,1215974,116566,49708,14571,Minnesota,500
Idaho,2019,1764327,1478739,200377,78730,6481,Minnesota,324
Illinois,2019,12536539,11014059,1274091,190627,57762,Minnesota,3930
Indiana,2019,6656971,5735703,743092,151443,26733,Minnesota,1599
Iowa,2019,3121385,2686528,348082,72651,14124,Minnesota,5358
Kansas,2019,2879518,2426897,345003,94648,12970,Minnesota,2373
Kentucky,2019,4421512,3792437,517128,100057,11890,Minnesota,310
Louisiana,2019,4595111,4018892,491341,67640,17238,Minnesota,112
Maine,2019,1331656,1162558,128105,36129,4864,Minnesota,0
Maryland,2019,5979602,5224363,569388,141766,44085,Minnesota,542
Massachusetts,2019,6828110,5975607,644535,144079,63889,Minnesota,1344
Michigan,2019,9880758,8606216,1104190,132008,38344,Minnesota,1747
Minnesota,2019,5575235,4836702,606228,106920,25385,Minnesota,0
Mississippi,2019,2943737,2583691,291479,61683,6884,Minnesota,0
Missouri,2019,6069697,5200465,694303,152345,22584,Minnesota,1321
Montana,2019,1056994,882156,129779,40862,4197,Minnesota,996
Nebraska,2019,1910711,1622237,234322,46064,8088,Minnesota,1615
Nevada,2019,3048602,2510591,384676,132950,20385,Minnesota,782
New Hampshire,2019,1350155,1173997,119189,50288,6681,Minnesota,92
New Jersey,2019,8791672,7888800,689445,149260,64167,Minnesota,98
New Mexico,2019,2073628,1816418,189705,55545,11960,Minnesota,356
New York,2019,19240920,17213380,1638372,254806,134362,Minnesota,2237
North Carolina,2019,10371906,8834381,1170200,315215,52110,Minnesota,2447
North Dakota,2019,750501,615450,94413,36668,3970,Minnesota,13506
Ohio,2019,11556037,9891733,1415185,205542,43577,Minnesota,1540
Oklahoma,2019,3907258,3282746,509137,101844,13531,Minnesota,638
Oregon,2019,4178578,3527178,501680,129921,19799,Minnesota,1368
Pennsylvania,2019,12670245,11092255,1259103,267465,51422,Minnesota,2708
Rhode Island,2019,1050602,930406,80686,34984,4526,Minnesota,0
South Carolina,2019,5092727,4414770,478892,176008,23057,Minnesota,685
South Dakota,2019,872708,739009,102133,26934,4632,Minnesota,5777
Tennessee,2019,6754461,5782145,755183,196765,20368,Minnesota,1215
Texas,2019,28642658,24347958,3517954,559661,217085,Minnesota,5949
Utah,2019,3162102,2661654,389057,95608,15783,Minnesota,770
Vermont,2019,617560,536752,57776,21212,1820,Minnesota,56
Virginia,2019,8439982,7201805,903735,264855,69587,Minnesota,1033
Washington,2019,7527366,6253469,977928,231956,64013,Minnesota,2378
West Virginia,2019,1773280,1563611,164739,39548,5382,Minnesota,433
Wisconsin,2019,5760481,5001140,634732,107973,16636,Minnesota,17524
Wyoming,2019,572884,473128,68127,30247,1382,Minnesota,492
Puerto Rico,2019,3175835,2968876,169733,31144,6082,Minnesota,0
Alabama,2010,4729509,3987155,620465,108723,13166,Mississippi,7233
Alaska,2010,702974,565031,95878,36326,5739,Mississippi,263
Arizona,2010,6332786,5069002,1001991,222725,39068,Mississippi,272
Arkansas,2010,2888304,2387806,412997,79127,8374,Mississippi,2764
California,2010,36907897,30790221,5413287,444749,259640,Mississippi,2757
Colorado,2010,4988190,4042039,725413,186366,34372,Mississippi,1277
Connecticut,2010,3541146,3100742,342904,77333,20167,Mississippi,67
Delaware,2010,889812,764640,90001,30759,4412,Mississippi,0
District of Columbia ,2010,596747,474676,63766,51244,7061,Mississippi,0
Florida,2010,18647600,15554008,2459530,482889,151173,Mississippi,7929
Georgia,2010,9587237,8015409,1278548,249459,43821,Mississippi,2380
Hawaii,2010,1346274,1140572,134315,53581,17806,Mississippi,234
Idaho,2010,1550967,1279856,209272,55638,6201,Mississippi,37
Illinois,2010,12680126,11009852,1404525,203959,61790,Mississippi,1093
Indiana,2010,6414862,5431015,833086,127353,23408,Mississippi,270
Iowa,2010,3013053,2553210,375650,72557,11636,Mississippi,117
Kansas,2010,2820894,2341401,372161,95059,12273,Mississippi,167
Kentucky,2010,4296639,3638259,519887,118443,20050,Mississippi,1442
Louisiana,2010,4483529,3826390,547291,97889,11959,Mississippi,7032
Maine,2010,1313902,1136780,146735,27758,2629,Mississippi,0
Maryland,2010,5716785,4917637,588879,164484,45785,Mississippi,403
Massachusetts,2010,6489250,5583650,706624,140162,58814,Mississippi,453
Michigan,2010,9762127,8310098,1291901,116149,43979,Mississippi,656
Minnesota,2010,5244256,4480630,647946,89872,25808,Mississippi,196
Mississippi,2010,2931228,2510729,340266,72321,7912,Mississippi,0
Missouri,2010,5920858,4968921,786726,145226,19985,Mississippi,1183
Montana,2010,978507,821709,117752,35630,3416,Mississippi,242
Nebraska,2010,1802697,1497138,247005,51290,7264,Mississippi,823
Nevada,2010,2667364,2030410,517261,102677,17016,Mississippi,946
New Hampshire,2010,1303865,1118359,141213,39367,4926,Mississippi,25
New Jersey,2010,8709933,7841470,684482,127369,56612,Mississippi,450
New Mexico,2010,2039549,1735950,220663,73605,9331,Mississippi,719
New York,2010,19171916,16976205,1779540,269427,146744,Mississippi,872
North Carolina,2010,9443000,7982017,1141001,263256,56726,Mississippi,1187
North Dakota,2010,665654,556222,75720,30100,3612,Mississippi,0
Ohio,2010,11405101,9745227,1453401,172633,33840,Mississippi,89
Oklahoma,2010,3716264,3065497,528824,106511,15432,Mississippi,1733
Oregon,2010,3794008,3110896,545841,116700,20571,Mississippi,735
Pennsylvania,2010,12577555,11053022,1239199,235580,49754,Mississippi,563
Rhode Island,2010,1042240,900283,99603,32059,10295,Mississippi,0
South Carolina,2010,4577399,3870879,537961,152441,16118,Mississippi,1175
South Dakota,2010,805616,680993,96805,25777,2041,Mississippi,201
Tennessee,2010,6282706,5299496,801355,159778,22077,Mississippi,9029
Texas,2010,24899075,20500156,3740344,486558,172017,Mississippi,7773
Utah,2010,2724064,2240636,388410,77780,17238,Mississippi,127
Vermont,2010,619363,534975,59032,22529,2827,Mississippi,0
Virginia,2010,7930773,6752310,870491,259507,48465,Mississippi,1858
Washington,2010,6661321,5464985,946923,191784,57629,Mississippi,737
West Virginia,2010,1833535,1625125,166168,39609,2633,Mississippi,44
Wisconsin,2010,5623196,4824045,691592,93065,14494,Mississippi,810
Wyoming,2010,556954,444614,82255,28046,2039,Mississippi,0
Puerto Rico,2010,3676493,3392179,247593,31732,4989,Mississippi,170
Alabama,2011,4745278,4024442,588293,117726,14817,Mississippi,3945
Alaska,2011,711962,571857,100280,35084,4741,Mississippi,554
Arizona,2011,6402301,5107496,1028366,222877,43562,Mississippi,1226
Arkansas,2011,2906632,2421746,405831,69845,9210,Mississippi,1731
California,2011,37222678,31213310,5271168,468428,269772,Mississippi,2092
Colorado,2011,5048443,4048042,763233,202124,35044,Mississippi,879
Connecticut,2011,3548667,3139496,316883,71502,20786,Mississippi,69
Delaware,2011,897187,775414,83156,33912,4705,Mississippi,0
District of Columbia ,2011,611608,489659,66519,48066,7364,Mississippi,83
Florida,2011,18863948,15742168,2454255,498597,168928,Mississippi,5175
Georgia,2011,9699859,8095407,1289450,271077,43925,Mississippi,5380
Hawaii,2011,1357806,1160948,122727,57542,16589,Mississippi,371
Idaho,2011,1559637,1284530,208434,60336,6337,Mississippi,62
Illinois,2011,12718402,11076528,1353853,216204,71817,Mississippi,1521
Indiana,2011,6437155,5478683,809158,127874,21440,Mississippi,469
Iowa,2011,3027718,2573313,370554,70405,13446,Mississippi,408
Kansas,2011,2833584,2372033,362782,83640,15129,Mississippi,1517
Kentucky,2011,4316297,3686232,505741,110031,14293,Mississippi,1248
Louisiana,2011,4518629,3865118,538691,99138,15682,Mississippi,10255
Maine,2011,1315833,1120364,157102,33818,4549,Mississippi,0
Maryland,2011,5759087,5008452,553895,153979,42761,Mississippi,1109
Massachusetts,2011,6515057,5658768,656441,139830,60018,Mississippi,356
Michigan,2011,9766574,8340767,1242917,139158,43732,Mississippi,715
Minnesota,2011,5277329,4505462,646176,101029,24662,Mississippi,549
Mississippi,2011,2943021,2534036,332934,68511,7540,Mississippi,0
Missouri,2011,5937896,4963040,801046,149439,24371,Mississippi,1641
Montana,2011,987076,828254,122210,33553,3059,Mississippi,0
Nebraska,2011,1817126,1505191,253269,52070,6596,Mississippi,424
Nevada,2011,2688336,2084668,480317,110345,13006,Mississippi,203
New Hampshire,2011,1305678,1141236,122129,37000,5313,Mississippi,160
New Jersey,2011,8719952,7825661,693380,140194,60717,Mississippi,510
New Mexico,2011,2055293,1753413,228218,62130,11532,Mississippi,556
New York,2011,19248685,17055260,1756105,282209,155111,Mississippi,401
North Carolina,2011,9539412,8070238,1160510,265291,43373,Mississippi,1273
North Dakota,2011,675161,559906,79837,32510,2908,Mississippi,80
Ohio,2011,11418944,9764366,1425709,191778,37091,Mississippi,691
Oklahoma,2011,3742698,3089041,528498,108878,16281,Mississippi,199
Oregon,2011,3828714,3128121,549332,127906,23355,Mississippi,7
Pennsylvania,2011,12610486,11099077,1224564,234291,52554,Mississippi,1238
Rhode Island,2011,1040022,903786,101689,26769,7778,Mississippi,0
South Carolina,2011,4624180,3899705,546666,157644,20165,Mississippi,2163
South Dakota,2011,814175,688436,94655,27506,3578,Mississippi,129
Tennessee,2011,6333466,5342978,794556,170969,24963,Mississippi,9172
Texas,2011,25327104,20984855,3648260,514726,179263,Mississippi,6048
Utah,2011,2769627,2295961,373984,85217,14465,Mississippi,143
Vermont,2011,621354,537304,60719,20463,2868,Mississippi,0
Virginia,2011,7996552,6789620,889751,257130,60051,Mississippi,1682
Washington,2011,6748474,5565069,919925,208507,54973,Mississippi,1110
West Virginia,2011,1836614,1609110,172262,50068,5174,Mississippi,0
Wisconsin,2011,5647213,4846550,675623,109439,15601,Mississippi,983
Wyoming,2011,561389,462808,66648,30651,1282,Mississippi,70
Puerto Rico,2011,3669195,3403602,238263,22649,4681,Mississippi,27
Alabama,2012,4764428,4054260,590326,104600,15242,Mississippi,4952
Alaska,2012,721186,592551,90613,33415,4607,Mississippi,56
Arizona,2012,6468907,5242674,953789,232457,39987,Mississippi,293
Arkansas,2012,2912680,2453347,373046,76948,9339,Mississippi,3689
California,2012,37572738,31777868,5046618,493641,254611,Mississippi,2556
Colorado,2012,5123944,4131357,751921,205060,35606,Mississippi,835
Connecticut,2012,3555319,3114940,334918,80311,25150,Mississippi,276
Delaware,2012,906576,782216,86003,34757,3600,Mississippi,58
District of Columbia ,2012,624847,500267,61992,53830,8758,Mississippi,44
Florida,2012,19114620,16032617,2380288,537148,164567,Mississippi,5490
Georgia,2012,9796547,8231384,1236302,277466,51395,Mississippi,3280
Hawaii,2012,1374852,1164145,134827,55145,20735,Mississippi,44
Idaho,2012,1573036,1296975,210151,59283,6627,Mississippi,87
Illinois,2012,12725119,11009321,1441191,208755,65852,Mississippi,2744
Indiana,2012,6457067,5493090,805228,134137,24612,Mississippi,1948
Iowa,2012,3035469,2585979,362938,75760,10792,Mississippi,751
Kansas,2012,2848708,2361899,381695,88284,16830,Mississippi,452
Kentucky,2012,4328626,3676472,521511,112787,17856,Mississippi,646
Louisiana,2012,4545914,3912023,528406,91215,14270,Mississippi,6791
Maine,2012,1315586,1132344,151438,27523,4281,Mississippi,79
Maryland,2012,5816472,5068457,549973,154983,43059,Mississippi,581
Massachusetts,2012,6580641,5752166,626380,142577,59518,Mississippi,155
Michigan,2012,9778980,8330990,1268105,133981,45904,Mississippi,922
Minnesota,2012,5315228,4536303,653012,101042,24871,Mississippi,202
Mississippi,2012,2947696,2529377,339807,73500,5012,Mississippi,0
Missouri,2012,5951913,4965459,801093,162930,22431,Mississippi,1110
Montana,2012,995544,829489,126463,37690,1902,Mississippi,32
Nebraska,2012,1829420,1540361,237937,43266,7856,Mississippi,176
Nevada,2012,2725280,2105070,481496,124285,14429,Mississippi,783
New Hampshire,2012,1309203,1127376,125118,50484,6225,Mississippi,0
New Jersey,2012,8772744,7929570,655465,130223,57486,Mississippi,106
New Mexico,2012,2060595,1769341,226243,54693,10318,Mississippi,451
Maryland,2015,5934005,5076791,638788,168894,49532,Virginia,24293
Massachusetts,2015,6725678,5893936,634359,132642,64741,Virginia,3444
Wyoming,2019,572884,473128,68127,30247,1382,abroad_ForeignCountry,1382
Puerto Rico,2019,3175835,2968876,169733,31144,6082,abroad_ForeignCountry,5740
